Time,T,Control_R1,0.12_R1,0.5_R1,2_R1,Control_R2,0.12_R2,0.5_R2,2_R2,Control_R3,0.12_R3,0.5_R3,2_R3,0.06_R1,0.25_R1,1_R1,4_R1,0.06_R2,0.25_R2,1_R2,4_R2,0.06_R3,0.25_R3,1_R3,4_R3
0.03,15,11.77,11.43,10.37,11.17,11.15,12.54,10.87,10.74,12.27,11.97,11.14,11.1,10.5,10.84,10.36,11.53,11.5,11.04,10.91,11.02,11.15,11.09,9.93,10.66
1.03,15,11.53,11.24,10.17,10.96,10.96,12.35,10.66,10.57,12.08,11.77,10.94,10.92,10.31,10.68,10.21,11.35,11.3,10.87,10.74,10.84,10.94,10.87,9.72,10.47
2.03,15,11.32,11.04,10.01,10.79,10.78,12.22,10.55,10.42,11.92,11.62,10.81,10.74,10.12,10.55,10.07,11.17,11.17,10.74,10.65,10.71,10.76,10.74,9.6,10.28
3.03,15,11.17,10.92,9.9,10.65,10.68,12.12,10.47,10.31,11.82,11.55,10.74,10.65,9.99,10.44,10.02,11.07,11.07,10.68,10.58,10.6,10.65,10.66,9.49,10.18
4.03,15,11.04,10.81,9.8,10.53,10.57,12.02,10.37,10.23,11.73,11.45,10.68,10.57,9.9,10.39,9.96,10.96,10.96,10.58,10.52,10.5,10.55,10.57,9.41,10.07
5.03,15,10.91,10.7,9.71,10.44,10.47,11.93,10.31,10.15,11.65,11.38,10.62,10.47,9.8,10.33,9.88,10.87,10.84,10.52,10.47,10.41,10.45,10.49,9.33,9.96
6.03,15,10.83,10.62,9.63,10.34,10.42,11.9,10.25,10.07,11.55,11.33,10.58,10.39,9.71,10.26,9.83,10.81,10.76,10.45,10.44,10.36,10.37,10.41,9.27,9.88
7.03,15,10.76,10.53,9.56,10.29,10.39,11.82,10.2,10.02,11.5,11.3,10.55,10.36,9.69,10.23,9.82,10.76,10.71,10.45,10.42,10.29,10.31,10.34,9.2,9.83
8.03,15,10.65,10.47,9.47,10.18,10.28,11.75,10.13,9.93,11.4,11.22,10.49,10.28,9.61,10.15,9.74,10.68,10.63,10.36,10.36,10.23,10.25,10.28,9.14,9.74
9.03,15,10.55,10.41,9.42,10.13,10.23,11.7,10.09,9.9,11.35,11.19,10.47,10.23,9.56,10.12,9.72,10.63,10.57,10.33,10.33,10.18,10.21,10.25,9.1,9.71
10.03,15,10.52,10.33,9.36,10.04,10.17,11.63,10.02,9.85,11.25,11.14,10.42,10.2,9.52,10.07,9.69,10.57,10.49,10.28,10.31,10.12,10.18,10.18,9.03,9.63
11.03,15,10.49,10.25,9.3,9.99,10.09,11.58,9.97,9.77,11.19,11.09,10.36,10.1,9.5,10.02,9.64,10.52,10.44,10.23,10.26,10.04,10.17,10.12,8.96,9.55
12.03,15,10.47,10.21,9.28,9.94,10.04,11.55,9.94,9.75,11.1,11.05,10.36,10.07,9.47,10.01,9.61,10.5,10.37,10.18,10.25,10.01,10.17,10.07,8.96,9.53
